Datum;Feiertag
01.01.2014;Neujahr
01.01.2015;Neujahr
01.01.2016;Neujahr
01.01.2017;Neujahr
01.01.2018;Neujahr
01.01.2019;Neujahr
18.04.2014;Karfreitag
03.04.2015;Karfreitag
25.03.2016;Karfreitag
14.04.2017;Karfreitag
30.03.2018;Karfreitag
19.04.2019;Karfreitag
21.04.2014;Ostermontag
06.04.2015;Ostermontag
28.03.2016;Ostermontag
17.04.2017;Ostermontag
02.04.2018;Ostermontag
22.04.2019;Ostermontag
01.05.2014;Tag der Arbeit
01.05.2015;Tag der Arbeit
01.05.2016;Tag der Arbeit
01.05.2017;Tag der Arbeit
01.05.2018;Tag der Arbeit
01.05.2019;Tag der Arbeit
29.05.2014;Christi Himmelfahrt
14.05.2015;Christi Himmelfahrt
05.05.2016;Christi Himmelfahrt
25.05.2017;Christi Himmelfahrt
10.05.2018;Christi Himmelfahrt
30.05.2019;Christi Himmelfahrt
30.05.2014;Pfingstmontag 
15.05.2015;Pfingstmontag 
06.05.2016;Pfingstmontag 
26.05.2017;Pfingstmontag 
11.05.2018;Pfingstmontag 
31.05.2019;Pfingstmontag 
31.10.2017;Reformationstag
31.10.2018;Reformationstag
